Movimientos,Performance,Suciedad,Agente
1000,19,0.1,Agente 32x32
1000,29,0.1,Agente 32x32
1000,26,0.1,Agente 32x32
1000,15,0.1,Agente 32x32
1000,18,0.1,Agente 32x32
1000,26,0.1,Agente 32x32
1000,21,0.1,Agente 32x32
1000,16,0.1,Agente 32x32
1000,22,0.1,Agente 32x32
1000,68,0.2,Agente 32x32
1000,45,0.2,Agente 32x32
1000,37,0.2,Agente 32x32
1000,61,0.2,Agente 32x32
1000,54,0.2,Agente 32x32
1000,66,0.2,Agente 32x32
1000,43,0.2,Agente 32x32
1000,41,0.2,Agente 32x32
1000,56,0.2,Agente 32x32
1000,40,0.2,Agente 32x32
1000,95,0.4,Agente 32x32
1000,58,0.4,Agente 32x32
1000,78,0.4,Agente 32x32
1000,88,0.4,Agente 32x32
1000,74,0.4,Agente 32x32
1000,119,0.4,Agente 32x32
1000,90,0.4,Agente 32x32
1000,76,0.4,Agente 32x32
1000,28,0.4,Agente 32x32
1000,84,0.4,Agente 32x32
1000,156,0.8,Agente 32x32
1000,132,0.8,Agente 32x32
1000,132,0.8,Agente 32x32
1000,180,0.8,Agente 32x32
1000,127,0.8,Agente 32x32
1000,103,0.8,Agente 32x32
1000,158,0.8,Agente 32x32
1000,143,0.8,Agente 32x32
1000,147,0.8,Agente 32x32
1000,180,0.8,Agente 32x32
1000,20,0.1,Agente 64x64
1000,23,0.1,Agente 64x64
1000,31,0.1,Agente 64x64
1000,31,0.1,Agente 64x64
1000,38,0.1,Agente 64x64
1000,27,0.1,Agente 64x64
1000,24,0.1,Agente 64x64
1000,38,0.1,Agente 64x64
1000,23,0.1,Agente 64x64
1000,46,0.1,Agente 64x64
1000,50,0.2,Agente 64x64
1000,70,0.2,Agente 64x64
1000,44,0.2,Agente 64x64
1000,82,0.2,Agente 64x64
1000,43,0.2,Agente 64x64
1000,50,0.2,Agente 64x64
1000,57,0.2,Agente 64x64
1000,69,0.2,Agente 64x64
1000,49,0.2,Agente 64x64
1000,35,0.2,Agente 64x64
1000,101,0.4,Agente 64x64
1000,83,0.4,Agente 64x64
1000,116,0.4,Agente 64x64
1000,93,0.4,Agente 64x64
1000,86,0.4,Agente 64x64
1000,103,0.4,Agente 64x64
1000,100,0.4,Agente 64x64
1000,92,0.4,Agente 64x64
1000,107,0.4,Agente 64x64
1000,140,0.4,Agente 64x64
1000,169,0.8,Agente 64x64
1000,106,0.8,Agente 64x64
1000,177,0.8,Agente 64x64
1000,173,0.8,Agente 64x64
1000,136,0.8,Agente 64x64
1000,147,0.8,Agente 64x64
1000,184,0.8,Agente 64x64
1000,164,0.8,Agente 64x64
1000,138,0.8,Agente 64x64
1000,128,0.8,Agente 64x64
1000,29,0.1,Agente 128x128
1000,35,0.1,Agente 128x128
1000,31,0.1,Agente 128x128
1000,25,0.1,Agente 128x128
1000,18,0.1,Agente 128x128
1000,34,0.1,Agente 128x128
1000,36,0.1,Agente 128x128
1000,26,0.1,Agente 128x128
1000,25,0.1,Agente 128x128
1000,32,0.1,Agente 128x128
1000,66,0.2,Agente 128x128
1000,65,0.2,Agente 128x128
1000,65,0.2,Agente 128x128
1000,51,0.2,Agente 128x128
1000,63,0.2,Agente 128x128
1000,47,0.2,Agente 128x128
1000,79,0.2,Agente 128x128
1000,70,0.2,Agente 128x128
1000,73,0.2,Agente 128x128
1000,77,0.2,Agente 128x128
1000,125,0.4,Agente 128x128
1000,122,0.4,Agente 128x128
1000,114,0.4,Agente 128x128
1000,98,0.4,Agente 128x128
1000,107,0.4,Agente 128x128
1000,93,0.4,Agente 128x128
1000,87,0.4,Agente 128x128
1000,132,0.4,Agente 128x128
1000,91,0.4,Agente 128x128
1000,90,0.4,Agente 128x128
1000,127,0.8,Agente 128x128
1000,156,0.8,Agente 128x128
1000,174,0.8,Agente 128x128
1000,146,0.8,Agente 128x128
1000,151,0.8,Agente 128x128
1000,167,0.8,Agente 128x128
1000,162,0.8,Agente 128x128
1000,148,0.8,Agente 128x128
1000,160,0.8,Agente 128x128
1000,147,0.8,Agente 128x128
