Movimientos,Performance,Suciedad,Agente
1000,32,0.8,Agente 8x8
1000,27,0.8,Agente 8x8
1000,8,0.1,Agente 16x16
1000,8,0.1,Agente 16x16
1000,4,0.1,Agente 16x16
1000,11,0.1,Agente 16x16
1000,9,0.1,Agente 16x16
1000,8,0.1,Agente 16x16
1000,11,0.1,Agente 16x16
1000,9,0.1,Agente 16x16
1000,13,0.1,Agente 16x16
1000,8,0.1,Agente 16x16
1000,18,0.2,Agente 16x16
1000,23,0.2,Agente 16x16
1000,17,0.2,Agente 16x16
1000,12,0.2,Agente 16x16
1000,20,0.2,Agente 16x16
1000,22,0.2,Agente 16x16
1000,12,0.2,Agente 16x16
1000,16,0.2,Agente 16x16
1000,18,0.2,Agente 16x16
1000,17,0.2,Agente 16x16
1000,34,0.4,Agente 16x16
1000,26,0.4,Agente 16x16
1000,31,0.4,Agente 16x16
1000,21,0.4,Agente 16x16
1000,36,0.4,Agente 16x16
1000,29,0.4,Agente 16x16
1000,35,0.4,Agente 16x16
1000,39,0.4,Agente 16x16
1000,32,0.4,Agente 16x16
1000,38,0.4,Agente 16x16
1000,54,0.8,Agente 16x16
1000,57,0.8,Agente 16x16
1000,46,0.8,Agente 16x16
1000,51,0.8,Agente 16x16
1000,36,0.8,Agente 16x16
1000,50,0.8,Agente 16x16
1000,61,0.8,Agente 16x16
1000,57,0.8,Agente 16x16
1000,51,0.8,Agente 16x16
1000,50,0.8,Agente 16x16
1000,8,0.1,Agente 32x32
1000,10,0.1,Agente 32x32
1000,13,0.1,Agente 32x32
1000,9,0.1,Agente 32x32
1000,9,0.1,Agente 32x32
1000,10,0.1,Agente 32x32
1000,18,0.1,Agente 32x32
1000,12,0.1,Agente 32x32
1000,12,0.1,Agente 32x32
1000,15,0.1,Agente 32x32
1000,21,0.2,Agente 32x32
1000,20,0.2,Agente 32x32
1000,24,0.2,Agente 32x32
1000,19,0.2,Agente 32x32
1000,17,0.2,Agente 32x32
1000,14,0.2,Agente 32x32
1000,23,0.2,Agente 32x32
1000,18,0.2,Agente 32x32
1000,18,0.2,Agente 32x32
1000,24,0.2,Agente 32x32
1000,35,0.4,Agente 32x32
1000,34,0.4,Agente 32x32
1000,45,0.4,Agente 32x32
1000,29,0.4,Agente 32x32
1000,35,0.4,Agente 32x32
1000,25,0.4,Agente 32x32
1000,43,0.4,Agente 32x32
1000,39,0.4,Agente 32x32
1000,51,0.4,Agente 32x32
1000,29,0.4,Agente 32x32
1000,52,0.8,Agente 32x32
1000,61,0.8,Agente 32x32
1000,60,0.8,Agente 32x32
1000,58,0.8,Agente 32x32
1000,63,0.8,Agente 32x32
1000,50,0.8,Agente 32x32
1000,59,0.8,Agente 32x32
1000,69,0.8,Agente 32x32
1000,61,0.8,Agente 32x32
1000,54,0.8,Agente 32x32
1000,8,0.1,Agente 64x64
1000,10,0.1,Agente 64x64
1000,16,0.1,Agente 64x64
1000,15,0.1,Agente 64x64
1000,13,0.1,Agente 64x64
1000,10,0.1,Agente 64x64
1000,10,0.1,Agente 64x64
1000,9,0.1,Agente 64x64
1000,7,0.1,Agente 64x64
1000,19,0.1,Agente 64x64
1000,24,0.2,Agente 64x64
1000,25,0.2,Agente 64x64
1000,16,0.2,Agente 64x64
1000,11,0.2,Agente 64x64
1000,18,0.2,Agente 64x64
1000,16,0.2,Agente 64x64
1000,21,0.2,Agente 64x64
1000,29,0.2,Agente 64x64
1000,13,0.2,Agente 64x64
1000,18,0.2,Agente 64x64
1000,37,0.4,Agente 64x64
1000,43,0.4,Agente 64x64
1000,35,0.4,Agente 64x64
1000,42,0.4,Agente 64x64
1000,38,0.4,Agente 64x64
1000,32,0.4,Agente 64x64
1000,43,0.4,Agente 64x64
1000,39,0.4,Agente 64x64
1000,47,0.4,Agente 64x64
1000,39,0.4,Agente 64x64
1000,57,0.8,Agente 64x64
1000,71,0.8,Agente 64x64
1000,65,0.8,Agente 64x64
1000,63,0.8,Agente 64x64
1000,74,0.8,Agente 64x64
1000,60,0.8,Agente 64x64
1000,62,0.8,Agente 64x64
1000,60,0.8,Agente 64x64
1000,53,0.8,Agente 64x64
1000,69,0.8,Agente 64x64
1000,9,0.1,Agente 128x128
1000,11,0.1,Agente 128x128
1000,7,0.1,Agente 128x128
1000,7,0.1,Agente 128x128
1000,9,0.1,Agente 128x128
1000,11,0.1,Agente 128x128
1000,16,0.1,Agente 128x128
1000,9,0.1,Agente 128x128
1000,17,0.1,Agente 128x128
1000,8,0.1,Agente 128x128
1000,27,0.2,Agente 128x128
1000,20,0.2,Agente 128x128
1000,24,0.2,Agente 128x128
1000,21,0.2,Agente 128x128
1000,26,0.2,Agente 128x128
1000,25,0.2,Agente 128x128
1000,17,0.2,Agente 128x128
1000,14,0.2,Agente 128x128
1000,24,0.2,Agente 128x128
1000,27,0.2,Agente 128x128
1000,31,0.4,Agente 128x128
1000,45,0.4,Agente 128x128
1000,40,0.4,Agente 128x128
1000,35,0.4,Agente 128x128
1000,45,0.4,Agente 128x128
1000,31,0.4,Agente 128x128
1000,42,0.4,Agente 128x128
1000,41,0.4,Agente 128x128
1000,37,0.4,Agente 128x128
1000,43,0.4,Agente 128x128
1000,71,0.8,Agente 128x128
1000,61,0.8,Agente 128x128
1000,69,0.8,Agente 128x128
1000,59,0.8,Agente 128x128
1000,55,0.8,Agente 128x128
1000,69,0.8,Agente 128x128
1000,70,0.8,Agente 128x128
1000,54,0.8,Agente 128x128
1000,57,0.8,Agente 128x128
1000,71,0.8,Agente 128x128
