Movimientos,Performance,Suciedad,Agente
176,34,0.4,Agente 4x4
271,57,0.4,Agente 4x4
294,50,0.4,Agente 4x4
271,65,0.8,Agente 4x4
101,20,0.8,Agente 4x4
488,93,0.8,Agente 4x4
358,63,0.8,Agente 4x4
291,59,0.8,Agente 4x4
277,50,0.8,Agente 4x4
354,62,0.8,Agente 4x4
209,46,0.8,Agente 4x4
299,64,0.8,Agente 4x4
325,55,0.8,Agente 4x4
569,118,0.1,Agente 8x8
704,146,0.1,Agente 8x8
434,87,0.1,Agente 8x8
1000,191,0.1,Agente 8x8
1000,203,0.1,Agente 8x8
1000,219,0.1,Agente 8x8
950,183,0.1,Agente 8x8
803,169,0.1,Agente 8x8
737,139,0.1,Agente 8x8
1000,191,0.1,Agente 8x8
1000,202,0.2,Agente 8x8
1000,195,0.2,Agente 8x8
1000,211,0.2,Agente 8x8
957,195,0.2,Agente 8x8
1000,185,0.2,Agente 8x8
1000,196,0.2,Agente 8x8
1000,206,0.2,Agente 8x8
1000,196,0.2,Agente 8x8
1000,211,0.2,Agente 8x8
1000,193,0.2,Agente 8x8
1000,212,0.4,Agente 8x8
1000,201,0.4,Agente 8x8
1000,198,0.4,Agente 8x8
1000,213,0.4,Agente 8x8
1000,198,0.4,Agente 8x8
1000,198,0.4,Agente 8x8
1000,209,0.4,Agente 8x8
1000,207,0.4,Agente 8x8
1000,224,0.4,Agente 8x8
1000,209,0.4,Agente 8x8
1000,182,0.8,Agente 8x8
1000,218,0.8,Agente 8x8
1000,210,0.8,Agente 8x8
1000,201,0.8,Agente 8x8
1000,193,0.8,Agente 8x8
1000,210,0.8,Agente 8x8
1000,221,0.8,Agente 8x8
1000,216,0.8,Agente 8x8
1000,213,0.8,Agente 8x8
1000,176,0.8,Agente 8x8
1000,195,0.1,Agente 16x16
1000,195,0.1,Agente 16x16
1000,198,0.1,Agente 16x16
1000,195,0.1,Agente 16x16
1000,212,0.1,Agente 16x16
1000,174,0.1,Agente 16x16
1000,204,0.1,Agente 16x16
1000,201,0.1,Agente 16x16
1000,211,0.1,Agente 16x16
1000,184,0.1,Agente 16x16
1000,187,0.2,Agente 16x16
1000,187,0.2,Agente 16x16
1000,196,0.2,Agente 16x16
1000,200,0.2,Agente 16x16
1000,200,0.2,Agente 16x16
1000,196,0.2,Agente 16x16
1000,215,0.2,Agente 16x16
1000,191,0.2,Agente 16x16
1000,204,0.2,Agente 16x16
1000,211,0.2,Agente 16x16
1000,195,0.4,Agente 16x16
1000,196,0.4,Agente 16x16
1000,192,0.4,Agente 16x16
1000,215,0.4,Agente 16x16
1000,201,0.4,Agente 16x16
1000,199,0.4,Agente 16x16
1000,224,0.4,Agente 16x16
1000,202,0.4,Agente 16x16
1000,200,0.4,Agente 16x16
1000,185,0.4,Agente 16x16
1000,187,0.8,Agente 16x16
1000,207,0.8,Agente 16x16
1000,198,0.8,Agente 16x16
1000,174,0.8,Agente 16x16
1000,197,0.8,Agente 16x16
1000,201,0.8,Agente 16x16
1000,206,0.8,Agente 16x16
1000,212,0.8,Agente 16x16
1000,175,0.8,Agente 16x16
1000,198,0.8,Agente 16x16
1000,207,0.1,Agente 32x32
1000,196,0.1,Agente 32x32
1000,214,0.1,Agente 32x32
1000,198,0.1,Agente 32x32
1000,206,0.1,Agente 32x32
1000,193,0.1,Agente 32x32
1000,206,0.1,Agente 32x32
1000,205,0.1,Agente 32x32
1000,182,0.1,Agente 32x32
1000,204,0.1,Agente 32x32
1000,200,0.2,Agente 32x32
1000,202,0.2,Agente 32x32
1000,204,0.2,Agente 32x32
1000,206,0.2,Agente 32x32
1000,199,0.2,Agente 32x32
1000,210,0.2,Agente 32x32
1000,182,0.2,Agente 32x32
1000,201,0.2,Agente 32x32
1000,176,0.2,Agente 32x32
1000,218,0.2,Agente 32x32
1000,188,0.4,Agente 32x32
1000,195,0.4,Agente 32x32
1000,178,0.4,Agente 32x32
1000,187,0.4,Agente 32x32
1000,189,0.4,Agente 32x32
1000,167,0.4,Agente 32x32
1000,210,0.4,Agente 32x32
1000,217,0.4,Agente 32x32
1000,197,0.4,Agente 32x32
1000,200,0.4,Agente 32x32
1000,183,0.8,Agente 32x32
1000,193,0.8,Agente 32x32
1000,200,0.8,Agente 32x32
1000,207,0.8,Agente 32x32
1000,234,0.8,Agente 32x32
1000,206,0.8,Agente 32x32
1000,188,0.8,Agente 32x32
1000,203,0.8,Agente 32x32
1000,188,0.8,Agente 32x32
1000,203,0.8,Agente 32x32
1000,216,0.1,Agente 64x64
1000,190,0.1,Agente 64x64
1000,197,0.1,Agente 64x64
1000,196,0.1,Agente 64x64
1000,197,0.1,Agente 64x64
1000,202,0.1,Agente 64x64
1000,202,0.1,Agente 64x64
1000,190,0.1,Agente 64x64
1000,192,0.1,Agente 64x64
1000,201,0.1,Agente 64x64
1000,212,0.2,Agente 64x64
1000,202,0.2,Agente 64x64
1000,185,0.2,Agente 64x64
1000,215,0.2,Agente 64x64
1000,228,0.2,Agente 64x64
1000,192,0.2,Agente 64x64
1000,216,0.2,Agente 64x64
1000,215,0.2,Agente 64x64
1000,175,0.2,Agente 64x64
1000,192,0.2,Agente 64x64
1000,200,0.4,Agente 64x64
1000,198,0.4,Agente 64x64
1000,207,0.4,Agente 64x64
1000,200,0.4,Agente 64x64
1000,196,0.4,Agente 64x64
1000,169,0.4,Agente 64x64
1000,201,0.4,Agente 64x64
1000,199,0.4,Agente 64x64
1000,199,0.4,Agente 64x64
1000,199,0.4,Agente 64x64
1000,226,0.8,Agente 64x64
1000,203,0.8,Agente 64x64
1000,207,0.8,Agente 64x64
1000,209,0.8,Agente 64x64
1000,204,0.8,Agente 64x64
1000,229,0.8,Agente 64x64
1000,198,0.8,Agente 64x64
1000,214,0.8,Agente 64x64
1000,203,0.8,Agente 64x64
1000,205,0.8,Agente 64x64
1000,170,0.1,Agente 128x128
1000,190,0.1,Agente 128x128
1000,194,0.1,Agente 128x128
1000,201,0.1,Agente 128x128
1000,183,0.1,Agente 128x128
1000,194,0.1,Agente 128x128
1000,207,0.1,Agente 128x128
1000,192,0.1,Agente 128x128
1000,215,0.1,Agente 128x128
1000,202,0.1,Agente 128x128
1000,204,0.2,Agente 128x128
1000,197,0.2,Agente 128x128
1000,213,0.2,Agente 128x128
1000,204,0.2,Agente 128x128
1000,200,0.2,Agente 128x128
1000,173,0.2,Agente 128x128
1000,186,0.2,Agente 128x128
1000,205,0.2,Agente 128x128
1000,199,0.2,Agente 128x128
1000,197,0.2,Agente 128x128
1000,215,0.4,Agente 128x128
1000,197,0.4,Agente 128x128
1000,200,0.4,Agente 128x128
1000,217,0.4,Agente 128x128
1000,178,0.4,Agente 128x128
1000,207,0.4,Agente 128x128
1000,216,0.4,Agente 128x128
1000,209,0.4,Agente 128x128
1000,209,0.4,Agente 128x128
1000,214,0.4,Agente 128x128
1000,216,0.8,Agente 128x128
1000,196,0.8,Agente 128x128
1000,219,0.8,Agente 128x128
1000,185,0.8,Agente 128x128
1000,203,0.8,Agente 128x128
1000,172,0.8,Agente 128x128
1000,183,0.8,Agente 128x128
1000,201,0.8,Agente 128x128
1000,206,0.8,Agente 128x128
1000,187,0.8,Agente 128x128
